Course,Sect,Professor Name,Total,A,A-,A+,B,B-,B+,C,C-,C+,D,D-,D+,Fs,Withdraw,Other
AASP100,101,"Walsh, Shane Bolles",35,8,16,5,0,0,0,0,0,0,0,0,0,0,0,6
AASP100,102,"Walsh, Shane Bolles",35,11,15,3,1,0,1,0,0,0,0,0,0,0,0,4
AASP100,103,"England, Jonathan William",36,12,5,5,0,1,1,0,0,0,0,0,0,0,1,11
AASP100,104,"England, Jonathan William",36,11,6,6,4,0,3,0,0,0,0,0,0,0,0,6
AASP100,105,"Nichols, Jason Anthony",35,0,4,0,1,0,2,0,1,0,0,0,0,0,0,27
AASP100,106,"Nichols, Jason Anthony",36,5,4,0,1,0,5,0,0,0,0,0,0,0,1,20
AASP100,107,"Walsh, Shane Bolles",37,10,11,12,0,0,0,0,0,0,0,0,0,0,1,3
AASP101,101,"England, Jonathan William",35,8,6,2,1,0,4,0,0,0,0,0,0,0,0,14
AASP200,101,"Kintiba, George Imongo",41,17,10,2,1,0,4,0,0,0,0,0,0,0,1,6
AASP202,101,"Jarmon, Renina",35,16,4,0,4,0,0,0,0,0,0,0,0,0,0,11
AASP202,201,"Jarmon, Renina",23,9,6,0,0,0,1,1,0,0,0,0,0,1,3,2
AASP202,301,"Choflet, Robert Thomas",30,8,4,1,3,0,1,0,0,1,0,0,0,0,2,10
AASP202,401,"Choflet, Robert Thomas",31,10,6,0,5,0,0,0,0,0,0,0,0,0,1,9
AASP211,101,"Nichols, Jason Anthony",120,54,17,0,2,0,5,1,0,0,0,0,0,1,2,38
AASP298Z,101,"Zeigler, Ronald",6,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1
AASP299T,101,"Kintiba, George Imongo",13,7,0,5,1,0,0,0,0,0,0,0,0,0,0,0
AASP310,101,"Kintiba, George Imongo",11,6,2,0,0,0,1,0,0,0,0,0,0,0,2,0
AASP313,101,"Barkley Brown, Elsa",33,16,1,0,3,1,0,0,0,0,0,0,0,0,3,9
AASP360,101,"Madhavan, Sangeetha",21,3,1,3,3,1,1,0,0,0,0,0,0,0,3,6
AASP395,101,"Hardaway, Cecily Renee",5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
AASP398G,101,"Harley, Sharon",18,0,3,1,3,0,1,0,0,0,0,0,0,0,2,8
AASP398Q,101,"Choflet, Robert Thomas",34,14,4,2,1,0,1,0,0,0,0,0,0,1,1,10
AASP398Z,101,"Kintiba, George Imongo",23,6,7,6,1,0,1,0,0,0,0,0,0,0,1,1
AASP498E,101,"Dunbar, Angel",9,3,1,2,0,1,0,0,0,0,0,0,0,0,0,2
AASP498J,101,"Dunbar, Angel",8,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2
AASP498P,SG91,"Korossy, Laszlo",26,17,0,0,0,0,0,0,0,0,0,0,0,1,1,7
AASP499S,101,"Bell, Caryn",16,2,4,2,0,2,0,0,0,0,0,0,0,0,0,6
AASP499T,101,"Richardson, Joseph B",10,3,0,2,0,0,1,0,0,0,0,0,0,0,0,4
AAST200,101,"Park, Terry K",40,15,8,3,0,0,1,0,0,0,0,0,0,0,0,13
AAST201,101,"Park, Terry K",60,14,13,1,7,1,10,0,0,0,0,0,0,0,2,12
